REGION,YEAR,PEOPLE HAVING HIV
Global,2019,38000000.0
Global,2018,37300000.0
Global,2017,36500000.0
Global,2016,35700000.0
Global,2015,34900000.0
Global,2014,34100000.0
Global,2013,33200000.0
Global,2012,32400000.0
Global,2011,31600000.0
Global,2010,30700000.0
Global,2009,29900000.0
Global,2008,29100000.0
Global,2007,28400000.0
Global,2006,27800000.0
Global,2005,27300000.0
Global,2004,26800000.0
Global,2003,26300000.0
Global,2002,25700000.0
Global,2001,24900000.0
Global,2000,24000000.0
Global,1999,22800000.0
Global,1998,21500000.0
Global,1997,20100000.0
Global,1996,18500000.0
Global,1995,16800000.0
Global,1994,15000000.0
Global,1993,13100000.0
Global,1992,11300000.0
Global,1991,9400000.0
Global,1990,7700000.0
Africa,2019,25700000.0
Africa,2018,25300000.0
Africa,2017,24900000.0
Africa,2016,24400000.0
Africa,2015,23900000.0
Africa,2014,23400000.0
Africa,2013,22900000.0
Africa,2012,22400000.0
Africa,2011,21800000.0
Africa,2010,21300000.0
Africa,2009,20700000.0
Africa,2008,20200000.0
Africa,2007,19700000.0
Africa,2006,19300000.0
Africa,2005,19000000.0
Africa,2004,18700000.0
Africa,2003,18400000.0
Africa,2002,18000000.0
Africa,2001,17600000.0
Africa,2000,17000000.0
Africa,1999,16300000.0
Africa,1998,15500000.0
Africa,1997,14500000.0
Africa,1996,13400000.0
Africa,1995,12300000.0
Africa,1994,11000000.0
Africa,1993,9700000.0
Africa,1992,8300000.0
Africa,1991,7000000.0
Africa,1990,5700000.0
Americas,2019,3700000.0
Americas,2018,3600000.0
Americas,2017,3500000.0
Americas,2016,3400000.0
Americas,2015,3300000.0
Americas,2014,3200000.0
Americas,2013,3100000.0
Americas,2012,3000000.0
Americas,2011,2900000.0
Americas,2010,2800000.0
Americas,2009,2800000.0
Americas,2008,2700000.0
Americas,2007,2600000.0
Americas,2006,2500000.0
Americas,2005,2400000.0
Americas,2004,2300000.0
Americas,2003,2300000.0
Americas,2002,2200000.0
Americas,2001,2100000.0
Americas,2000,2000000.0
Americas,1999,1900000.0
Americas,1998,1800000.0
Americas,1997,1700000.0
Americas,1996,1600000.0
Americas,1995,1500000.0
Americas,1994,1400000.0
Americas,1993,1400000.0
Americas,1992,1300000.0
Americas,1991,1200000.0
Americas,1990,1100000.0
South-East Asia,2019,3700000.0
South-East Asia,2018,3700000.0
South-East Asia,2017,3600000.0
